ID,Title En,Countries,Date,Nationality,Gender,Enquiry status,Staff,Local,Conflict Zone,Age,Media,Date resolution,dg_request,state_acknowledgements,state_response,País Título EN,country_Regional Group,Coordinates,Calc country code,calc_country,Conflict zone calc,year,month,case_category,resolved,impunity,government_responded,primary_region,resolution_days
3216,Jacinto Hernández Torres,US,2016-06-13,American,Male,Ongoing/Unresolved,Freelancer,Local,False,,Print,,"[{'id': 53048, 'text_1': '2017', 'text_2': ''}, {'id': 53049, 'text_1': '2018', 'text_2': ''}, {'id': 53050, 'text_1': '2019', 'text_2': ''}, {'id': 53051, 'text_1': '2020', 'text_2': ''}, {'id': 53052, 'text_1': '2021', 'text_2': ''}, {'id': 53053, 'text_1': '2022', 'text_2': ''}, {'id': 53054, 'text_1': '2024', 'text_2': ''}]",[],"[{'id': 53055, 'text_1': '2017', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000388234.locale=en'}, {'id': 53056, 'text_1': '2018', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000388235.locale=en'}, {'id': 53057, 'text_1': '2019', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000388236.locale=en'}, {'id': 53058, 'text_1': '2020', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000388237.locale=en'}, {'id': 53059, 'text_1': '2021', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000388238.locale=en'}, {'id': 53060, 'text_1': '2022', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000388239.locale=en'}, {'id': 53061, 'text_1': '2024', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000391723.locale=en'}]",United States of America,Europe and North America,"38.9, -77.04",US,Jacinto Hernández Torres,Not a Conflict Zone,2016,6,Unresolved,0,1,1,Europe and North America,
2717,Alexander Álvarez Ramírez,PY,2023-02-14,Paraguayan,Male,Ongoing/Unresolved,Staff,Local,False,39.0,Radio,,"[{'id': 53503, 'text_1': '2024', 'text_2': ''}]",[],"[{'id': 53504, 'text_1': '2024', 'text_2': ''}]",Paraguay,Latin America and the Caribbean,"-25.28, -57.63",PY,Alexander Álvarez Ramírez,Not a Conflict Zone,2023,2,Unresolved,0,1,1,Latin America and the Caribbean,
2741,Humberto Andrés Coronel Godoy,PY,2022-09-12,Paraguayan,Male,Ongoing/Unresolved,Not indicated,Local,False,33.0,Cross-platform,,"[{'id': 51668, 'text_1': '2024', 'text_2': ''}]",[],"[{'id': 51669, 'text_1': '2024', 'text_2': ''}]",Paraguay,Latin America and the Caribbean,"-25.28, -57.63",PY,Humberto Andrés Coronel Godoy,Not a Conflict Zone,2022,9,Unresolved,0,1,1,Latin America and the Caribbean,
2749,Fredid Román,MX,2022-08-22,Mexican,Male,Ongoing/Unresolved,Staff,Local,False,60.0,Cross-platform,,"[{'id': 50318, 'text_1': '2024', 'text_2': ''}, {'id': 50319, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50320, 'text_1': '2024', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000391699.locale=en'}, {'id': 50321, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Fredid Román,Not a Conflict Zone,2022,8,Unresolved,0,1,1,Latin America and the Caribbean,
2752,Alejandro Arriaga,MX,2022-08-11,Mexican,Male,Ongoing/Unresolved,Not indicated,Local,False,,Radio,,"[{'id': 50098, 'text_1': '2024', 'text_2': ''}, {'id': 50099, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50100, 'text_1': '2024', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000391699.locale=en'}, {'id': 50101, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Alejandro Arriaga,Not a Conflict Zone,2022,8,Unresolved,0,1,1,Latin America and the Caribbean,
2781,Armando Linares López,MX,2022-03-15,Mexican,Male,Ongoing/Unresolved,Staff,Local,False,,Online,,"[{'id': 50143, 'text_1': '2024', 'text_2': ''}, {'id': 50144, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50145, 'text_1': '2024', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000391699.locale=en'}, {'id': 50146, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Armando Linares López,Not a Conflict Zone,2022,3,Unresolved,0,1,1,Latin America and the Caribbean,
2793,Heber López Vásquez,MX,2022-02-10,Mexican,Male,Ongoing/Unresolved,Staff,Local,False,39.0,Online,,"[{'id': 50370, 'text_1': '2024', 'text_2': ''}, {'id': 50371, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50372, 'text_1': '2024', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000391699.locale=en'}, {'id': 50373, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Heber López Vásquez,Not a Conflict Zone,2022,2,Unresolved,0,1,1,Latin America and the Caribbean,
2818,Alfredo Cardoso,MX,2021-10-28,Mexican,Male,Resolved,Staff,Local,False,,Online,1970-01-01 00:00:00.000002024,"[{'id': 50108, 'text_1': '2022', 'text_2': ''}, {'id': 50109, 'text_1': '2024', 'text_2': ''}]",[],"[{'id': 50110, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50111, 'text_1': '2024', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000391699.locale=en'}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Alfredo Cardoso,Not a Conflict Zone,2021,10,Resolved,1,0,1,Latin America and the Caribbean,-18928.0
2822,Manuel González Reyes,MX,2021-09-28,Mexican,Male,Ongoing/Unresolved,Staff,Local,False,,Online,,"[{'id': 50557, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50558, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50559, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Manuel González Reyes,Not a Conflict Zone,2021,9,Unresolved,0,1,1,Latin America and the Caribbean,
2832,Ricardo López,MX,2021-07-22,Mexican,Male,Ongoing/Unresolved,Staff,Local,False,,Online,,"[{'id': 50706, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50707, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50708, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Ricardo López,Not a Conflict Zone,2021,7,Unresolved,0,1,1,Latin America and the Caribbean,
2839,Saúl Tijerina Rentería,MX,2021-06-22,Mexican,Male,Resolved,Freelancer,Local,False,,Cross-platform,1970-01-01 00:00:00.000002024,"[{'id': 50754, 'text_1': '2022', 'text_2': ''}, {'id': 50755, 'text_1': '2024', 'text_2': ''}]",[],"[{'id': 50756, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50757, 'text_1': '2024', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000391699.locale=en'}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Saúl Tijerina Rentería,Not a Conflict Zone,2021,6,Resolved,1,0,1,Latin America and the Caribbean,-18800.0
2872,Jaime Daniel Castano Zacarias,MX,2020-12-09,Mexican,Male,Ongoing/Unresolved,Staff,Local,False,,Cross-platform,,"[{'id': 50404, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50405, 'text_1': '2021', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_ms_21.pdf'}, {'id': 50406, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Jaime Daniel Castano Zacarias,Not a Conflict Zone,2020,12,Unresolved,0,1,1,Latin America and the Caribbean,
2882,Jesús Alfonso Piñuelas,MX,2020-11-02,Mexican,Male,Resolved,Staff,Local,False,,Print,1970-01-01 00:00:00.000002021,[],[],"[{'id': 50433, 'text_1': '2021', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_ms_21.pdf'}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Jesús Alfonso Piñuelas,Not a Conflict Zone,2020,11,Resolved,1,0,1,Latin America and the Caribbean,-18568.0
2960,Norma Sarabia,MX,2019-06-11,Mexican,Female,Ongoing/Unresolved,Staff,Local,False,,Print,,"[{'id': 50657, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50658, 'text_1': '2021', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_ms_21.pdf'}, {'id': 50659, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50660, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Norma Sarabia,Not a Conflict Zone,2019,6,Unresolved,0,1,1,Latin America and the Caribbean,
2964,Francisco Romero,MX,2019-05-16,Mexican,Male,Ongoing/Unresolved,Staff,Local,False,,Cross-platform,,"[{'id': 50315, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50316, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50317, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Francisco Romero,Not a Conflict Zone,2019,5,Unresolved,0,1,1,Latin America and the Caribbean,
2967,Telesforo Santiago Enriquez,MX,2019-05-02,Mexican,Male,Ongoing/Unresolved,Staff,Local,False,,Radio,,"[{'id': 50762, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50763, 'text_1': '2020', 'text_2': 'https://fr.unesco.org/sites/default/files/mexico_safety_2020.pdf'}, {'id': 50764, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50765, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Telesforo Santiago Enriquez,Not a Conflict Zone,2019,5,Unresolved,0,1,1,Latin America and the Caribbean,
2973,Santiago Barroso,MX,2019-03-15,Mexican,Male,Resolved,Staff,Local,False,,Radio,1970-01-01 00:00:00.000002021,[],[],"[{'id': 50753, 'text_1': '2021', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_ms_21.pdf'}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Santiago Barroso,Not a Conflict Zone,2019,3,Resolved,1,0,1,Latin America and the Caribbean,-17970.0
2978,Rafael Murua Manriquez,MX,2019-01-20,Mexican,Male,Resolved,Staff,Local,False,,Radio,1970-01-01 00:00:00.000002020,[],[],"[{'id': 50693, 'text_1': '2020', 'text_2': 'https://fr.unesco.org/sites/default/files/mexico_safety_2020.pdf'}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Rafael Murua Manriquez,Not a Conflict Zone,2019,1,Resolved,1,0,1,Latin America and the Caribbean,-17916.0
2989,Jesús Alejandro Márquez Jiménez,MX,2018-12-01,Mexican,Male,Resolved,Staff,Local,False,,Online,1970-01-01 00:00:00.000002020,[],[],"[{'id': 50421, 'text_1': '2020', 'text_2': 'https://fr.unesco.org/sites/default/files/mexico_safety_2020.pdf'}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Jesús Alejandro Márquez Jiménez,Not a Conflict Zone,2018,12,Resolved,1,0,1,Latin America and the Caribbean,-17866.0
